len, median BS, stdev BS, median IS, stdev IS
19100,12.94,1.4270248771482583,3.47,1.0812492774564062
19200,12.84,1.5919798993705918,3.59,1.2007914056987583
19300,12.71,1.4580466384858886,3.52,1.0438390680559912
19400,12.72,1.6067358214715943,3.55,1.143459662602927
19500,13.15,1.275735082217307,3.68,1.1651609330903612
19600,12.8,1.6248076809271923,3.52,1.2204917041913883
19700,13.0,1.7776388834631178,3.66,1.2507597691003651
19800,12.9,1.2922847983320085,3.78,1.11874930167576
19900,12.79,1.4511719401917895,3.61,1.0944861808172828
20000,12.84,1.5409088227406573,3.58,0.9917661014573947
20100,12.74,1.4115239990875108,3.56,1.1341957503006255
20200,12.52,1.9051509126575772,3.83,1.3715319901482423
20300,12.83,1.5495483212859151,3.66,1.3283071933856259
20400,12.97,1.6214499683924881,3.69,1.1721348045340183
20500,12.74,1.8794680098368266,3.74,1.269803134347998
20600,12.83,1.6914786430812532,3.76,1.4291256067959872
20700,13.27,1.2794920867281678,3.37,1.0262066068779714
20800,13.11,1.4205280708243684,3.77,1.2235603785674
20900,12.96,1.5094369811290573,3.55,1.0712142642814275
21000,12.9,1.6522711641858305,3.79,1.3213250924734605
21100,12.73,1.859327835536273,3.64,1.220819396962548
21200,12.79,1.6810413439294112,3.54,1.2200000000000004
21300,12.92,1.6289874155437793,3.69,1.1108105148944176
21400,12.91,1.5498064395272078,3.72,1.1668761716651859
21500,12.91,1.6738876903783007,3.6,1.113552872566004
21600,13.02,1.5810123339177344,3.6,1.048808848170151
21700,12.78,1.7063411147833258,3.66,1.088301428833023
21800,13.3,1.3304134695650074,3.82,1.3592645070036957
21900,13.09,1.3863260799682022,3.71,1.0889903580840377
22000,12.98,1.7775263711123954,3.6,1.3038404810405302
22100,12.85,1.6085707942145406,3.66,1.021958903283297
22200,13.14,1.421407752898512,3.86,1.2650691680694766
22300,13.02,1.6491209779758431,3.69,1.2057777573002422
22400,12.94,1.6051168181786655,3.54,1.1783038657324354
22500,12.82,1.7110230857589268,3.55,1.2757350822173072
22600,13.06,1.6542067585401774,3.7,1.1532562594670799
22700,13.2,1.6309506430300098,3.62,1.1469960767151732
22800,12.98,1.448999654934397,3.75,1.3219304066402287
22900,13.21,1.5381482373295496,3.69,1.1286717857729947
23000,13.12,1.3876599006961325,3.64,1.1001818031580044
23100,12.85,1.7284386017443603,3.49,1.0816191566350881
23200,13.17,1.3270644294833607,3.36,1.0818502669038805
23300,13.22,1.4253420642077455,3.78,1.2456323695216016
23400,13.16,1.4540976583434833,3.58,1.1329607230614833
23500,13.25,1.69336942218761,3.49,1.0908253755757609
23600,13.34,1.3207573584879237,3.8,1.039230484541327
23700,12.9,1.5198684153570663,3.64,1.2768711759609894
23800,12.94,1.7934324631833787,3.88,1.259206099095775
23900,13.27,1.7936276090649368,3.68,1.112474718813871
24000,12.96,1.7884071124886527,3.42,0.9399999999999998
24100,13.19,1.6774683305505358,3.62,1.0934349546269313
24200,13.01,1.5132415537514166,3.84,1.155162326255492
24300,13.23,1.6843693181722346,3.45,1.1258330249197706
24400,13.04,1.7373543104387201,3.43,1.18536914081648
24500,13.07,1.4916769087171666,3.72,1.0777754868245986
24600,13.19,1.4261486598528226,3.57,1.097770467811919
24700,13.12,1.84,3.46,1.211775556776089
24800,13.16,1.7012936254509392,3.58,1.1240996397117113
24900,13.12,1.56384142418597,3.69,1.214042832852285
25000,13.3,1.2767145334803707,3.69,1.0458967444255676
25100,13.21,1.4303496076134676,3.68,1.3407460609675494
25200,13.42,1.2898061869908979,3.57,1.1336225121265013
25300,13.08,1.842172630347113,3.48,1.1530828244319662
25400,13.3,1.5842979517754863,3.7,1.2845232578665131
25500,13.18,1.5516442891333055,3.63,1.1632282665066216
25600,13.12,1.6017490440140743,3.57,1.032036821048551
25700,13.4,1.3856406460551023,3.59,1.1233432244866213
25800,13.09,1.7441043546760622,3.63,1.293483668238606
25900,13.45,1.4097872179871684,3.81,1.205777757300242
26000,13.13,1.6103105290595359,3.71,1.2271511724314978
26100,13.32,1.2952219886953742,3.56,1.1074294559925697
26200,13.11,1.4553006562219377,3.68,1.384774349849101
26300,13.01,1.797192254601605,3.6,1.1747340124470729
26400,13.24,1.407977272543843,3.68,1.2639620247459973
26500,13.36,1.5001333274079351,3.77,1.3330791424367867
26600,13.11,1.6241613220366997,3.77,1.1032225523438144
26700,13.08,1.5979987484350546,3.62,0.9877246579892596
26800,13.2,1.5297058540778363,3.84,1.1892854997854803
26900,13.02,1.9797979694908268,3.63,1.1632282665066211
27000,13.34,1.5441502517566086,3.63,1.1371455491712572
27100,13.4,1.5748015748023634,3.46,1.0622617379911607
27200,13.23,1.9383240183209822,3.6,1.2000000000000002
27300,13.12,1.607980099379343,3.56,1.1859173664298879
27400,13.28,1.6857046004564376,3.77,1.271652468247516
27500,13.33,1.5169377047196115,3.75,1.107925990308017
27600,13.07,1.6628589837986867,3.61,1.1304423912787425
27700,13.51,1.4035312607847397,3.62,1.0934349546269315
27800,13.4,1.2328828005937962,3.64,1.228983319658977
27900,13.2,1.606237840420902,3.72,1.2576167937809992
28000,13.48,1.5714961024450549,3.56,1.1341957503006257
28100,13.39,1.4892615619829834,3.62,1.0749883720301348
28200,13.35,1.3883443376914826,3.67,1.1229870880824944
28300,13.26,1.9980990966416063,3.59,1.0108906963663284
28400,13.19,1.7927353401994386,3.61,1.3482952198980749
28500,13.29,1.5639373388982054,3.9,1.1000000000000003
28600,13.33,1.5430813329180035,3.64,1.0818502669038808
28700,13.32,1.708098357823694,3.58,1.1931470990619721
28800,13.19,1.4539257202484592,3.48,1.3377593206552514
28900,13.12,1.632666530556685,3.7,1.187434208703792
29000,13.48,1.5065191668213183,3.74,1.2051555916146264
29100,13.37,1.5274488534808617,3.61,1.1991246807567593
29200,13.67,1.1406577050105786,3.57,1.0793979803575693
29300,13.26,1.6347476869535555,3.52,0.8423775875461078
29400,13.25,1.6209565077447328,3.65,1.0988630487917956
29500,13.11,1.9177851808792334,3.77,1.1389029809426259
29600,13.59,1.477125587077822,3.6,0.989949493661166
29700,13.4,1.8000000000000007,3.61,1.1304423912787425
29800,13.64,1.4249210504445506,3.59,1.1840185809352823
29900,13.46,1.5454449197561195,3.46,1.195156893466293
30000,13.3,1.4798648586948744,3.68,1.3407460609675492
30100,13.6,1.4628738838327802,3.71,1.2751078385768004
30200,13.35,1.596088969951237,3.79,1.1514773119779647
30300,13.58,1.4154857823376397,3.76,1.175755076535925
30400,13.54,1.4793241700181876,3.96,1.1993331480451959
30500,13.43,1.5182555779578097,3.5,1.02469507659596
30600,13.47,1.6276056033327002,3.63,1.137145549171257
30700,13.52,1.4729562111617576,3.88,1.1513470371699401
30800,13.52,1.3746272221951665,3.73,1.1389029809426263
30900,13.65,1.472243186433546,3.69,1.1974556359214321
31000,13.67,1.516937704719611,3.67,1.1050339361304704
31100,13.78,1.17966096824469,3.89,1.1823282116231524
31200,13.54,1.344767637921139,3.59,1.149739100839838
31300,13.38,1.6172816699635226,3.63,1.1371455491712572
31400,13.27,1.54825708459545,3.59,1.077914653393301
31500,13.59,1.4972975656161338,3.76,1.1672189169131895
31600,13.28,1.6067358214715945,3.63,1.1459057552870566
31700,13.35,1.6874537030686214,3.81,1.2222520198387894
31800,13.39,1.515882581204757,3.74,1.285457117137713
31900,13.51,1.445648643343188,3.79,1.051617801294748
32000,13.45,1.3811227316933132,3.71,1.177242540855537
32100,13.47,1.5776881821196487,3.61,0.9153687781435419
32200,13.7,1.4177446878757822,3.75,1.1258330249197703
32300,13.49,1.8573906428104994,3.66,1.2427389106324784
32400,13.49,1.5779416972752829,3.78,1.0824047302187854
32500,13.49,1.889417899777601,3.66,1.1244554237496471
32600,13.42,1.4978651474682223,3.92,1.2221292893961757
32700,13.43,1.5050249167372622,3.73,1.1122499719037982
32800,13.4,1.6431676725154996,3.44,1.0131140113531152
32900,13.67,1.3715319901482432,3.56,1.0707007051459332
33000,13.52,1.4729562111617576,3.73,1.173499041328965
33100,13.48,1.774711244118321,3.86,1.1577564510725034
33200,13.4,1.4628738838327797,3.61,1.1479982578384
33300,13.49,1.4106381534610497,3.56,1.1516944039110373
33400,13.57,1.430069928360149,3.61,1.3182943525631887
33500,13.33,1.371531990148244,3.5,1.004987562112089
33600,13.77,1.3103816238027757,3.75,1.1258330249197703
33700,13.57,1.6140322177701416,3.77,1.2558264211267411
33800,13.56,1.6811900546934015,3.6,1.113552872566004
33900,13.57,1.2747941010218082,3.76,1.0111379727811627
34000,13.6,1.574801574802363,3.77,1.103222552343814
34100,13.85,1.3883443376914817,3.93,1.3509626197641444
34200,13.65,1.4924811556599302,3.81,1.1286717857729944
34300,13.66,1.3799999999999997,3.66,1.2745195173083848
34400,13.52,1.5904716281656837,3.71,1.1772425408555365
34500,13.73,1.5482570845954498,3.37,0.9864583113340372
34600,13.29,2.1227105313725656,3.45,1.1434596626029272
34700,13.58,1.7039953051578518,3.65,1.2439855304624734
34800,13.49,1.658282243769136,3.59,1.0207350292803712
34900,13.5,1.6703293088490065,3.63,1.0359054010864117
35000,13.61,1.441492282324118,3.65,1.1694015563526503
35100,13.57,1.6867424225411545,3.8,1.3341664064126328
35200,13.69,1.426148659852823,3.61,1.1215614116043766
35300,13.77,1.4822617852457776,3.98,1.2245815611873303
35400,13.84,1.4263239463740345,3.64,1.0910545357588677
35500,13.83,1.6312878348102755,3.55,1.0988630487917954
35600,13.79,1.663099515964094,3.7,1.1445523142259595
35700,13.42,1.6743954132760879,3.65,1.1169153951844342
35800,13.66,1.274519517308385,3.48,1.1872657663724664
35900,13.6,1.5620499351813315,3.65,1.177921898938975
36000,13.74,1.480675521510368,3.53,1.0995908329919821
36100,13.52,1.577846633865282,3.64,1.1620671237067155
36200,13.57,1.620216034978053,3.6,1.1489125293076055
36300,13.68,1.5354478174135382,3.78,1.0543244282477766
36400,13.64,1.7917589123540045,3.82,1.3444701558606647
36500,13.76,1.57556339129849,3.67,1.0867842472174503
36600,13.8,1.8330302779823364,3.55,1.0988630487917954
36700,13.68,1.468877122158283,3.75,1.1779218989389746
36800,13.63,1.677229859023503,3.62,1.12942463227964
36900,13.81,1.36157996459995,3.66,1.218359552841442
37000,13.61,1.7543944824354636,3.49,0.9746281342132495
37100,13.84,1.3469966592386187,3.65,1.0712142642814277
37200,13.84,1.7872884490199108,3.77,1.231706133783541
37300,13.44,1.8456435192094933,3.63,1.0065286881157436
37400,13.46,1.5837929157563495,3.87,1.1802965729002186
37500,13.55,1.3592277219068178,3.68,1.1214276615100955
37600,13.54,1.4589036979869512,3.58,1.1847362575695908
37700,13.93,1.3057947771376637,3.58,1.1591376104673679
37800,13.82,1.4654692081377891,3.74,1.1101351269102337
37900,13.56,1.485395570210172,3.81,1.205777757300242
38000,13.65,1.7853571071357126,3.73,1.1476497723608892
38100,13.96,1.3558761005342634,3.84,1.3763720427268205
38200,13.59,1.8659849945806095,3.71,1.098134782255803
38300,13.92,1.3090454537562863,3.73,1.0849423947841657
38400,13.89,1.7714118662806788,3.57,1.1511298797268708
38500,13.76,1.6560193235587557,3.62,0.9568698971124548
38600,13.92,1.4743133995185698,3.51,1.1704272724095248
38700,13.6,1.881488772222679,3.78,1.0824047302187851
38800,13.85,1.6023420358962064,4.02,1.0860939185908374
38900,13.99,1.431747184386965,3.78,1.2375782803523987
39000,13.98,1.3113351974228415,3.81,1.2624975247500492
39100,13.56,1.6206171663906321,3.71,1.2107435731813738
39200,13.85,1.485765795810362,3.66,1.2823416081528352
39300,13.82,1.4991997865528133,3.66,1.021958903283297
39400,13.78,1.4112405889854491,3.59,1.1144056711987786
39500,13.86,1.667453147767576,3.62,1.1643023662262306
39600,13.98,1.4211263138792423,3.64,1.2768711759609903
39700,13.73,1.5222023518573342,3.74,1.1010903686800646
39800,14.0,1.606237840420901,3.71,1.2352732491234482
39900,13.7,1.596871942267131,3.6,1.1747340124470727
40000,13.93,1.4230600830604454,3.59,1.132210227828737
40100,14.24,1.312402377321833,3.8,1.2727922061357853
40200,13.52,2.012361796496842,3.85,1.2835497652993437
40300,13.71,1.6630995159640936,3.93,1.1158404903927805
40400,13.67,1.838776767310268,3.83,1.442601816164113
40500,13.94,1.4409718942436043,4.0,1.2083045973594573
40600,13.94,1.6298466185503473,3.76,1.1842297074469967
40700,13.75,1.4239030865898141,3.67,1.039759587597056
40800,14.0,1.2806248474865698,3.85,1.336974195712094
40900,13.79,1.5119193100162462,3.67,1.3568714014231424
41000,14.12,1.4510685717773648,3.69,1.1374972527439355
41100,14.07,1.3802535998866297,3.7,1.1704699910719623
41200,13.88,1.6928083175599067,3.8,1.476482306023339
41300,13.97,1.5063532122314476,3.49,1.0049378090210355
41400,13.8,1.8055470085267795,3.44,1.1253443917308157
41500,14.03,1.4384366513684221,3.69,1.1549458861782234
41600,13.93,1.282614517304401,3.71,1.1161989070053777
41700,14.11,1.5355455056754268,3.78,1.2536347155371859
41800,13.84,1.9530488985173924,3.78,1.3234802605252554
41900,13.59,1.7837881040078722,3.41,1.059197809665409
42000,14.24,1.4150618361046978,3.57,1.3729894391436526
42100,13.74,1.7754999295972953,3.85,1.2278029157808674
42200,14.05,1.7457090250096088,3.44,1.1859173664298874
42300,13.87,1.3903596656980528,3.79,1.1941105476462384
42400,14.17,1.400392802038056,3.77,1.0474254150057651
42500,13.8,1.6,3.67,1.1050339361304702
42600,13.78,1.752598071435662,3.68,1.1478675881825402
42700,14.07,1.3946684193742975,3.82,1.1347246362003418
42800,13.77,1.6604517457607728,3.64,1.1271202242884288
42900,14.0,1.816590212458495,3.9,1.1874342087037917
43000,13.89,1.76008522520928,3.81,1.1197767634667186
43100,13.72,1.7209299811439152,3.57,1.070093453862792
43200,13.9,1.8303005217723125,3.33,1.0203430795570678
43300,14.0,1.5937377450509227,3.55,1.1863810517704672
43400,14.3,1.466287829861518,3.63,1.1371455491712572
43500,14.22,1.459999999999999,3.85,1.291317157014496
43600,13.79,1.7395114256595159,3.71,1.1251222155837115
43700,14.1,1.7058722109231983,3.69,1.2222520198387898
43800,13.93,1.6386274744431695,3.67,1.1752021102772066
43900,13.97,1.3524422353653411,3.64,1.1359577456930334
44000,14.05,1.6992645467966432,3.87,1.1014081895464556
44100,13.61,1.6726924403487917,3.9,1.4106735979665885
44200,14.04,1.5291827882892226,3.55,0.9836157786453001
44300,13.89,1.6055840058994115,3.69,1.1374972527439355
44400,13.74,1.786728854639114,3.76,1.1926441212700456
44500,14.29,1.1857065404222085,3.59,1.0871522432483869
44600,14.3,1.5198684153570667,3.65,1.116915395184434
44700,14.06,1.4478950238190622,3.74,1.0919706955774962
44800,13.98,1.6732005259382396,3.76,1.1499565209172036
44900,14.01,1.6155184926208683,3.63,1.1371455491712572
45000,13.97,1.5776881821196485,3.72,1.123209686567918
45100,13.96,1.5869467539901898,3.78,1.0637668917577763
45200,14.1,1.7058722109231983,3.67,1.0959470790143107
45300,14.24,1.7442476888332117,3.7,1.2767145334803705
45400,13.8,1.97484176581315,3.82,1.3219682295728592
45500,14.18,1.5580757362849855,3.85,1.1947803145348515
45600,14.2,1.9646882704388502,3.72,1.2253978945632313
45700,13.74,1.879468009836826,3.53,1.0531381675734675
45800,14.15,1.705139290497993,3.91,1.3273658124270047
45900,14.25,1.6874537030686205,3.79,1.1514773119779647
46000,14.05,1.6515144564913748,3.74,1.2619033243477884
46100,14.03,1.9414170082699904,3.83,1.3420506696842704
46200,14.15,1.7741194999210166,3.87,1.1104503590886001
46300,14.03,1.5903144343179434,3.55,1.0897247358851683
46400,14.27,1.5802215034608285,3.72,1.1142710621747298
46500,13.79,1.914654015742792,3.44,1.1516944039110373
46600,14.02,1.679166459884189,3.96,1.0947145746723201
46700,13.92,1.7359723500102187,3.62,1.0467091286503618
46800,13.91,1.6679028748701177,3.85,1.2114041439585717
46900,14.1,1.4317821063276355,3.87,1.197121547713515
47000,14.08,1.4675149062275317,3.67,1.0775435026020992
47100,13.98,1.691035185914238,3.85,1.0988630487917947
47200,14.2,1.6062378404209017,3.63,1.1459057552870566
47300,14.09,1.59433371663526,3.63,1.3164725595317204
47400,13.76,1.7951044537853498,3.75,1.1779218989389746
47500,14.03,1.681992865621017,3.92,1.1196428001822727
47600,14.03,1.7114613638642269,3.52,1.0628264204469138
47700,14.26,1.308587024236447,3.88,1.2106196760337242
47800,13.96,1.9540726700918774,3.75,1.1434596626029272
47900,13.97,1.6640612969479223,3.74,1.1800000000000004
48000,14.13,1.4876491521860933,3.71,1.061084351029644
48100,14.2,1.3638181696985863,3.78,1.1539497389401332
48200,14.29,1.5955876660340547,3.8,0.948683298050514
48300,14.01,1.7116950663012385,3.84,1.1637869220780925
48400,14.03,1.6760369924318497,3.66,1.218359552841442
48500,14.11,1.678660180024534,4.02,1.2804686642007301
48600,14.13,1.5852760012060996,3.76,1.1842297074469965
48700,14.03,1.4996999699939986,3.8,1.1575836902790226
48800,14.33,1.3420506696842716,3.76,1.3124023773218332
